,train,val,val ap
0,0.2726139533806612,0.20039811730384827,0.6585493431191244
1,0.18967613195353014,0.17658419575956133,0.6928481188072929
2,0.18305871265138535,0.18307280540466309,0.7100381570248301
3,0.18028635950012004,0.1780751860804028,0.7143663717021638
4,0.1759018904783509,0.1860524664322535,0.7403918201489789
5,0.1740934122453399,0.15417893106738725,0.7728838591659204
6,0.16775190411882604,0.16655049017733997,0.7601899393988925
7,0.1711729693221536,0.17146152382095656,0.7559974178857317
8,0.16761304195073837,0.18107931233114666,0.753121720750008
9,0.16524919170268718,0.1679318141606119,0.7772245945149708
10,0.1627204667995958,0.15420777019527224,0.787526910088351
11,0.1636393732406239,0.16585021631585228,0.7821799800132149
12,0.16466676105152478,0.1667901815639602,0.7852898327292378
13,0.1609769151172536,0.1665757199128469,0.783710131761496
14,0.1612748818043719,0.14907292856110466,0.803690922031694
15,0.15884379217809536,0.1645387742254469,0.7980625292058513
16,0.15817268714707167,0.15843921941187647,0.7813515609561946
17,0.16251509935460626,0.1566685347093476,0.7834476264789975
18,0.1565869637431308,0.15528995295365652,0.775890953387242
19,0.15584242941542742,0.14889898730648887,0.794908738048623
20,0.15717003175759697,0.15973001387384203,0.7908600028469355
